# time_s wind_ms x1_blade_m x2_tower_m
1.860000000000000098e+00 1.001099999999999923e+01 1.384476701315581870e+00 7.617684204446134588e-01
1.870000000000000107e+00 1.001299999999999990e+01 1.391671295727004320e+00 7.634422159209051095e-01
1.879999999999999893e+00 1.001500000000000057e+01 1.398859845030964832e+00 7.649952043273012814e-01
1.889999999999999902e+00 1.001600000000000001e+01 1.406033536773117376e+00 7.664276348182926801e-01
1.899999999999999911e+00 1.001500000000000057e+01 1.413183425456022269e+00 7.677399646244055242e-01
1.909999999999999920e+00 1.001200000000000045e+01 1.420300682524088254e+00 7.689326869053962898e-01
1.919999999999999929e+00 1.000699999999999967e+01 1.427376596363573835e+00 7.700063307502521548e-01
1.929999999999999938e+00 1.000099999999999945e+01 1.434402572302587053e+00 7.709614611771905546e-01
1.939999999999999947e+00 9.992000000000000881e+00 1.441370132611084154e+00 7.717986791336592933e-01
1.949999999999999956e+00 9.981999999999999318e+00 1.448270916500871586e+00 7.725186214963368769e-01
1.959999999999999964e+00 9.971000000000000085e+00 1.455096680125604225e+00 7.731219610711318468e-01
1.969999999999999973e+00 9.960000000000000853e+00 1.461839296580786929e+00 7.736094065931834463e-01
1.979999999999999982e+00 9.948999999999999844e+00 1.468490755903772760e+00 7.739817027268612870e-01
1.989999999999999991e+00 9.939000000000000057e+00 1.475043165073764984e+00 7.742396300657651276e-01
2.000000000000000000e+00 9.930999999999999162e+00 1.481488748011815293e+00 7.743840051327256502e-01
2.009999999999999787e+00 9.923999999999999488e+00 1.487819845580824918e+00 7.744156803798035726e-01
2.020000000000000018e+00 9.917999999999999261e+00 1.494028915585544626e+00 7.743355441882902035e-01
2.029999999999999805e+00 9.913999999999999702e+00 1.500108532772573167e+00 7.741445208687071089e-01
2.040000000000000036e+00 9.910999999999999588e+00 1.506051388830360382e+00 7.738435706608063347e-01
2.049999999999999822e+00 9.907999999999999474e+00 1.511850292389203210e+00 7.734336897335706285e-01
2.060000000000000053e+00 9.906000000000000583e+00 1.517498169021249677e+00 7.729159101852126623e-01
2.069999999999999840e+00 9.903000000000000469e+00 1.522988061240495572e+00 7.722913000431759212e-01
2.080000000000000071e+00 9.897999999999999687e+00 1.528313128502786888e+00 7.715609632641340365e-01
2.089999999999999858e+00 9.893000000000000682e+00 1.533466647205817601e+00 7.707260397339914526e-01
2.100000000000000089e+00 9.884999999999999787e+00 1.538442010689132777e+00 7.697877052678825383e-01
2.109999999999999876e+00 9.875000000000000000e+00 1.543232729234124578e+00 7.687471716101723640e-01
2.120000000000000107e+00 9.864000000000000767e+00 1.547832430064036036e+00 7.676056864344564801e-01
2.129999999999999893e+00 9.852000000000000313e+00 1.552234857343957941e+00 7.663645333435606943e-01
2.140000000000000124e+00 9.839000000000000412e+00 1.556433872180831957e+00 7.650250318695411833e-01
2.149999999999999911e+00 9.826000000000000512e+00 1.560423452623447282e+00 7.635885374736849363e-01
2.160000000000000142e+00 9.814000000000000057e+00 1.564197693662443323e+00 7.620564415465087560e-01
2.169999999999999929e+00 9.801999999999999602e+00 1.567750857033507472e+00 7.604299939388950991e-01
2.180000000000000160e+00 9.792999999999999261e+00 1.571078277105734777e+00 7.587094565760744702e-01
2.189999999999999947e+00 9.785000000000000142e+00 1.574176344927366911e+00 7.568959646542964270e-01
2.200000000000000178e+00 9.778999999999999915e+00 1.577041791454956821e+00 7.549908444596410417e-01
2.209999999999999964e+00 9.775999999999999801e+00 1.579671666221842852e+00 7.529954119361249587e-01
2.220000000000000195e+00 9.773999999999999133e+00 1.582063337338151632e+00 7.509109726857012834e-01
2.229999999999999982e+00 9.772999999999999687e+00 1.584214491490795629e+00 7.487388219682598045e-01
2.240000000000000213e+00 9.773999999999999133e+00 1.586123133943474262e+00 7.464802447016267717e-01
2.250000000000000000e+00 9.775000000000000355e+00 1.587787588536673899e+00 7.441365154615651178e-01
2.259999999999999787e+00 9.775999999999999801e+00 1.589206497687667197e+00 7.417088984817741260e-01
2.270000000000000018e+00 9.776999999999999247e+00 1.590378822390514202e+00 7.391986476538898732e-01
2.279999999999999805e+00 9.778000000000000469e+00 1.591303842216061470e+00 7.366070065274850087e-01
2.290000000000000036e+00 9.778000000000000469e+00 1.591981155311942286e+00 7.339352083100685320e-01
2.299999999999999822e+00 9.778000000000000469e+00 1.592410678402576663e+00 7.311844758670862365e-01
2.310000000000000053e+00 9.778000000000000469e+00 1.592592646789171340e+00 7.283560217219202659e-01
2.319999999999999840e+00 9.776999999999999247e+00 1.592527614349720233e+00 7.254510480558895580e-01
2.330000000000000071e+00 9.775000000000000355e+00 1.592216453539003318e+00 7.224707467082492895e-01
2.339999999999999858e+00 9.773999999999999133e+00 1.591660355388588188e+00 7.194162991761917647e-01
2.350000000000000089e+00 9.771000000000000796e+00 1.590860829506828500e+00 7.162888766148451936e-01
2.359999999999999876e+00 9.768000000000000682e+00 1.589819704078865081e+00 7.130896398372748024e-01
2.370000000000000107e+00 9.765000000000000568e+00 1.588539125866625046e+00 7.098197393144821676e-01
2.379999999999999893e+00 9.759999999999999787e+00 1.587021560208823123e+00 7.064803151754056598e-01
2.390000000000000124e+00 9.755000000000000782e+00 1.585269791020959884e+00 7.030724972069197776e-01
2.399999999999999911e+00 9.749000000000000554e+00 1.583286920795323516e+00 6.995974048538362577e-01
2.410000000000000142e+00 9.742000000000000881e+00 1.581073549166813530e+00 6.960561676528821407e-01
2.419999999999999929e+00 9.734999999999999432e+00 1.578616744319160770e+00 6.924500589413833396e-01
2.430000000000000160e+00 9.727999999999999758e+00 1.575919602601624669e+00 6.887803126019381716e-01
2.439999999999999947e+00 9.723000000000000753e+00 1.572988438642992870e+00 6.850481366068762457e-01
2.450000000000000178e+00 9.718999999999999417e+00 1.569829664520661971e+00 6.812547293472425158e-01
2.459999999999999964e+00 9.718999999999999417e+00 1.566449789760640421e+00 6.774012796327981700e-01
2.470000000000000195e+00 9.721999999999999531e+00 1.562855421337546291e+00 6.734889666920196305e-01
2.479999999999999982e+00 9.728999999999999204e+00 1.559053263674608836e+00 6.695189601720994421e-01
2.490000000000000213e+00 9.740999999999999659e+00 1.555050118643667378e+00 6.654924201389452731e-01
2.500000000000000000e+00 9.756999999999999673e+00 1.550852885565171757e+00 6.614104970771814695e-01
2.509999999999999787e+00 9.778000000000000469e+00 1.546468561208182768e+00 6.572743318901471676e-01
2.520000000000000018e+00 9.803000000000000824e+00 1.541904239790371056e+00 6.530850558998976263e-01
2.529999999999999805e+00 9.830000000000000071e+00 1.537167112978018668e+00 6.488437908472038940e-01
2.540000000000000036e+00 9.858999999999999986e+00 1.532264469886016833e+00 6.445516488915524755e-01
2.549999999999999822e+00 9.887999999999999901e+00 1.527203697077869071e+00 6.402097326111459985e-01
2.560000000000000053e+00 9.914999999999999147e+00 1.521992278565687862e+00 6.358191350029023248e-01
2.569999999999999840e+00 9.938000000000000611e+00 1.516637795810197087e+00 6.313809394824554388e-01
2.580000000000000071e+00 9.957000000000000739e+00 1.511147927720730477e+00 6.268962198841547817e-01
2.589999999999999858e+00 9.970000000000000639e+00 1.505530450655233388e+00 6.223660404610658059e-01
2.600000000000000089e+00 9.977000000000000313e+00 1.499793238420260355e+00 6.177914558849690874e-01
2.609999999999999876e+00 9.977999999999999758e+00 1.493944262270977319e+00 6.131735112463618798e-01
2.620000000000000107e+00 9.974000000000000199e+00 1.487991590911160511e+00 6.085132420544561160e-01
2.629999999999999893e+00 9.964000000000000412e+00 1.481943390493196677e+00 6.038116742371802959e-01
2.640000000000000124e+00 9.951000000000000512e+00 1.475807924618082856e+00 5.990698241411779312e-01
2.649999999999999911e+00 9.935000000000000497e+00 1.469591308366641869e+00 5.942886436670167249e-01
